Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2555137,-56.787123,2815.371163,31.171387,20180801, 00:05:18.3100
2555138,-71.093669,103.362789,30.848871,20180801, 00:14:59.3100
2555139,-72.643589,72.300833,30.832614,20180801, 00:24:59.2800
2555140,-75.236594,39.653556,30.722013,20180801, 00:34:59.2500
2555141,-76.408146,30.084277,30.52547,20180801, 00:44:59.2500
2555142,-67.709753,225.539951,30.882112,20180801, 00:54:59.2500
2555143,-74.88851,43.313175,30.972708,20180801, 01:04:59.2500
2555144,-73.204755,63.275087,30.705514,20180801, 01:14:59.2500
2555145,-76.50667,30.076008,31.217298,20180801, 01:24:59.2300
2555146,-76.598872,29.736815,31.527524,20180801, 01:34:59.2000
2555147,-71.421704,95.734543,30.813939,20180801, 01:44:59.1900
2555148,-76.440501,30.647777,31.329773,20180801, 01:54:59.1900
2555149,-78.082259,21.102072,31.481773,20180801, 02:04:59.2000
2555150,-80.546699,12.034757,31.667618,20180801, 02:14:59.1900
2555151,-81.365761,10.14208,32.226363,20180801, 02:24:59.1800
2555152,-81.540464,9.74455,32.234159,20180801, 02:34:59.1400
2555153,-79.261375,16.581716,32.454514,20180801, 02:44:59.1200
2555154,-71.525548,98.847219,32.585724,20180801, 02:54:59.1200
2555155,-74.158788,54.04129,32.667254,20180801, 03:04:59.1200
2555156,-80.407165,12.817602,32.66115,20180801, 03:14:59.1200
2555157,-76.547536,31.210142,32.700737,20180801, 03:24:59.1200
2555158,-76.88471,28.867219,32.687682,20180801, 03:34:59.1000
2555159,-78.935035,17.989165,32.660485,20180801, 03:44:59.0600
2555160,-67.040762,278.124279,32.645497,20180801, 03:54:59.0600
2555161,-80.150028,13.498915,32.419763,20180801, 04:04:59.0600
2555162,-73.697323,59.875078,32.545171,20180801, 04:14:59.0600
2555163,-77.019846,27.962065,32.663447,20180801, 04:24:59.0600
2555164,-74.101606,54.492926,32.509392,20180801, 04:34:59.0500
2555165,-74.249859,52.051418,32.131174,20180801, 04:44:59.0100
2555166,-71.426929,99.748045,32.14441,20180801, 04:54:59.0000
2555167,-78.242307,20.617971,31.914264,20180801, 05:04:59.0000
2555168,-77.688404,23.784302,32.407011,20180801, 05:14:59.0000
2555169,-81.47092,9.966677,32.445207,20180801, 05:24:59.0000
2555170,-73.286649,64.978389,32.132316,20180801, 05:35:00.0000
2555171,-79.808121,14.469148,32.119086,20180801, 05:44:59.9600
2555172,-74.06048,53.970181,31.894078,20180801, 05:54:59.9400
2555173,-72.147927,83.411533,31.73416,20180801, 06:04:59.9400
2555174,-76.015238,33.847741,31.373408,20180801, 06:14:59.9400
2555175,-70.632332,117.513881,31.537738,20180801, 06:24:59.9400
2555176,-80.320503,12.481756,31.176987,20180801, 06:34:59.9400
2555177,-86.385158,3.049616,30.780033,20180801, 06:44:59.9200
2555178,-78.301401,19.605145,30.762264,20180801, 06:54:59.8800
2555179,-71.369006,95.506888,30.369904,20180801, 07:04:59.8700
2555180,-73.307961,61.498954,30.56131,20180801, 07:14:59.8700
2555181,-85.815141,3.441559,30.463341,20180801, 07:24:59.8700
2555182,-82.124759,8.113374,30.703338,20180801, 07:34:59.8700
2555183,-72.802051,68.62454,30.352377,20180801, 07:44:59.8700
2555184,-75.124015,39.553534,29.860356,20180801, 07:54:59.8300
2555185,-75.785589,34.189439,30.057926,20180801, 08:04:59.8100
2555186,-84.654822,4.417045,29.931067,20180801, 08:14:59.8100
2555187,-80.653225,11.101258,29.936628,20180801, 08:24:59.8100
2555188,-73.118854,62.649224,29.806385,20180801, 08:34:59.8200
2555189,-76.702674,27.296564,29.640363,20180801, 08:44:59.8100
2555190,-80.621453,11.08497,29.674813,20180801, 08:54:59.7800
2555191,-80.386601,11.62401,29.479781,20180801, 09:04:59.7500
2555192,-80.646879,11.121374,29.947083,20180801, 09:14:59.7500
2555193,-88.123645,2.007035,30.229266,20180801, 09:24:59.7500
2555194,-83.627018,5.631284,30.117396,20180801, 09:34:59.7600
2555195,-84.441888,4.640902,29.943276,20180801, 09:44:59.7500
2555196,-79.929594,13.087687,29.876553,20180801, 09:54:59.7400
2555197,-70.182323,123.946732,29.989934,20180801, 10:04:59.7100
2555198,-79.204937,15.750103,30.428831,20180801, 10:14:59.6900
2555199,-83.26087,6.228338,30.617335,20180801, 10:24:59.6900
2555200,-74.942851,42.201014,30.557381,20180801, 10:34:59.7000
2555201,-84.546567,4.645512,30.704244,20180801, 10:44:59.6900
2555202,-75.879081,33.969871,30.514773,20180801, 10:54:59.6900
2555203,-74.91936,42.86544,30.871052,20180801, 11:04:59.6500
2555204,-73.576856,58.614349,30.988301,20180801, 11:14:59.6200
2555205,-85.056831,4.202075,31.235974,20180801, 11:24:59.6200
2555206,-65.223922,405.26278,31.306685,20180801, 11:34:59.6200
2555207,-82.060755,8.355697,31.157767,20180801, 11:44:59.6200
2555208,-79.918817,13.813801,31.455966,20180801, 11:54:59.6200
2555209,-77.63575,23.311204,31.379634,20180801, 12:04:59.6000
2555210,-84.099473,5.252438,31.319619,20180801, 12:14:59.5700
2555211,-84.24292,5.158549,31.792724,20180801, 12:24:59.5600
2555212,-79.682413,14.806388,31.929977,20180801, 12:34:59.5600
2555213,-69.884671,141.790523,32.034836,20180801, 12:44:59.5600
2555214,-77.06424,27.252318,32.161453,20180801, 12:54:59.5600
2555215,-62.443358,792.491951,32.27296,20180801, 13:04:59.5600
2555216,-77.023562,27.700405,32.385495,20180801, 13:14:59.5200
2555217,-70.275602,131.349705,32.471135,20180801, 13:24:59.5000
2555218,-79.273121,16.663065,32.702066,20180801, 13:34:59.5000
2555219,-80.379558,12.918151,32.708775,20180801, 13:44:59.5000
2555220,-76.570912,31.024306,32.681457,20180801, 13:54:59.5000
2555221,-79.501277,15.813514,32.708775,20180801, 14:04:59.5000
2555222,-78.243402,21.12562,32.708291,20180801, 14:14:59.4700
2555223,-75.679823,38.121134,32.708171,20180801, 14:24:59.4400
2555224,-71.500185,97.033854,31.801669,20180801, 14:34:59.4400
2555225,-72.643553,76.695442,32.706418,20180801, 14:44:59.4400
2555226,-85.004037,4.454023,32.708775,20180801, 14:54:59.4400
2555227,-77.647864,24.230908,32.708775,20180801, 15:04:59.4500
2555228,-79.728603,15.007068,32.708775,20180801, 15:14:59.4300
2555229,-76.981228,28.250967,32.708775,20180801, 15:24:59.3900
2555230,-72.701122,75.690944,32.708775,20180801, 15:34:59.3800
2555231,-75.77185,37.322534,32.708775,20180801, 15:44:59.3700
2555232,-73.964371,56.587307,32.708775,20180801, 15:54:59.3700
2555233,-80.313003,13.117645,32.708775,20180801, 16:04:59.3800
2555234,-75.62667,38.591277,32.708775,20180801, 16:14:59.3700
2555235,-78.008125,21.90025,32.11957,20180801, 16:24:59.3400
2555236,-75.240444,42.175117,32.704605,20180801, 16:34:59.3200
2555237,-79.364606,16.319074,32.708775,20180801, 16:44:59.3100
2555238,-78.379753,20.472967,32.708775,20180801, 16:54:59.3100
2555239,-76.448448,31.927993,32.698259,20180801, 17:04:59.3200
2555240,-79.712918,15.047197,32.678012,20180801, 17:14:59.3100
2555241,-81.221209,10.608746,32.605669,20180801, 17:24:59.2900
2555242,-85.652937,3.804848,32.444361,20180801, 17:34:59.2600
2555243,-78.594378,19.253248,32.318409,20180801, 17:44:59.2500
2555244,-81.226699,10.475955,32.238269,20180801, 17:54:59.2500
2555245,-79.434154,15.792393,32.164112,20180801, 18:04:59.2500
2555246,-80.77677,11.553517,32.055264,20180801, 18:14:59.2500
2555247,-76.068096,34.056472,31.953427,20180801, 18:24:59.2500
2555248,-82.170125,8.327456,31.844398,20180801, 18:34:59.2100
2555249,-77.832929,22.537613,31.747456,20180801, 18:44:59.1900
2555250,-75.472017,38.695915,31.650091,20180801, 18:54:59.1900
2555251,-79.469934,15.354267,31.530486,20180801, 19:04:59.1900
2555252,-81.193716,10.285184,31.411726,20180801, 19:14:59.1900
2555253,-82.352653,7.859392,31.34458,20180801, 19:24:59.1900
2555254,-76.528298,29.949308,31.24099,20180801, 19:34:59.1600
2555255,-82.493336,7.553114,31.114857,20180801, 19:44:59.1200
2555256,-83.881935,5.472736,31.038887,20180801, 19:54:59.1200
2555257,-82.737495,7.106438,30.967752,20180801, 20:04:59.1200
2555258,-81.497179,9.427302,30.875464,20180801, 20:14:59.1200
2555259,-79.332624,15.443198,30.726123,20180801, 20:24:59.1200
2555260,-78.585527,18.276059,30.615643,20180801, 20:34:59.1100
2555261,-82.491055,7.442601,30.643505,20180801, 20:44:59.0700
2555262,-77.042846,26.161564,30.722497,20180801, 20:54:59.0600
2555263,-79.928344,13.452256,30.699953,20180801, 21:04:59.0600
2555264,-72.077902,81.859041,30.645378,20180801, 21:14:59.0600
2555265,-77.674382,22.524169,30.591105,20180801, 21:24:59.0600
2555266,-80.504276,11.745124,30.605067,20180801, 21:34:59.0600
2555267,-81.380467,9.59992,30.607121,20180801, 21:44:59.0300
2555268,-84.212962,5.005442,30.637038,20180801, 21:54:59.0000
2555269,-82.473751,7.481025,30.679223,20180801, 22:04:59.0100
2555270,-82.647409,7.193494,30.70358,20180801, 22:14:59.0000
2555271,-74.634996,45.549518,30.724974,20180801, 22:24:59.0000
2555272,-72.172868,80.419533,30.772055,20180801, 22:34:59.0100
2555273,-68.189145,201.549877,30.818057,20180801, 22:44:59.9900
2555274,-70.267184,125.080512,30.861442,20180801, 22:54:59.9400
2555275,-68.397896,192.616302,30.902298,20180801, 23:04:59.9500
2555276,-66.990796,266.918542,30.971801,20180801, 23:14:59.9400
2555277,-76.454368,30.240144,31.011932,20180801, 23:24:59.9400
2555278,-75.049525,41.729815,30.967571,20180801, 23:34:59.9400
2555279,-76.41631,30.536923,31.043057,20180801, 23:44:59.9300
2555280,-77.610347,23.348195,31.246127,20180801, 23:54:59.8900
2555281,-79.173755,16.337098,31.337085,20180802, 00:04:59.8700
2555282,-79.071854,16.744152,31.373046,20180802, 00:14:59.8700
2555283,-79.678428,14.609089,31.475608,20180802, 00:24:59.8700
2555284,-77.828165,22.437311,31.571523,20180802, 00:34:59.8800
2555285,-79.200874,16.403798,31.662118,20180802, 00:44:59.8700
2555286,-76.382641,31.464204,31.738693,20180802, 00:54:59.8500
2555287,-76.501678,30.737033,31.86676,20180802, 01:04:59.8100
2555288,-77.853014,22.596932,31.978569,20180802, 01:14:59.8100
2555289,-75.096246,42.78577,32.094609,20180802, 01:24:59.8100
2555290,-76.34237,32.321655,32.302695,20180802, 01:34:59.8100
2555291,-77.43874,25.148108,32.350985,20180802, 01:44:59.8100
2555292,-74.855606,45.973927,32.627245,20180802, 01:54:59.8000
2555293,-69.685108,151.478136,32.686534,20180802, 02:04:59.7600
2555294,-70.043181,139.315765,32.645739,20180802, 02:14:59.7500
2555295,-71.567809,94.998307,31.623136,20180802, 02:24:59.7500
2555296,-78.11807,21.741993,32.705028,20180802, 02:34:59.7500
2555297,-78.839077,18.4173,32.707083,20180802, 02:44:59.7500
2555298,-79.439522,16.039984,32.708775,20180802, 02:54:59.7500
2555299,-77.245808,26.581247,32.708775,20180802, 03:04:59.7100
2555300,-79.597222,15.459359,32.690523,20180802, 03:14:59.6900
2555301,-80.521224,12.503561,32.708775,20180802, 03:24:59.6900
2555302,-81.019649,11.147853,32.708775,20180802, 03:34:59.6900
2555303,-83.374779,6.481541,32.708775,20180802, 03:44:59.6900
2555304,-75.928403,36.0011,32.708775,20180802, 03:54:59.6900
2555305,-76.948632,28.418571,32.656799,20180802, 04:04:59.6700
2555306,-71.009484,111.719522,32.702852,20180802, 04:14:59.6300
2555307,-73.621128,61.235491,32.705753,20180802, 04:24:59.6200
2555308,-72.868826,72.474917,32.552061,20180802, 04:34:59.6300
2555309,-81.570846,9.667854,32.204968,20180802, 04:44:59.6200
2555310,-79.403406,16.055015,32.468294,20180802, 04:54:59.6200
2555311,-79.711688,14.741464,32.00498,20180802, 05:04:59.6200
2555312,-84.533357,4.82729,31.8088,20180802, 05:14:59.5900
2555313,-78.196416,21.006356,32.173661,20180802, 05:24:59.5600
2555314,-81.998239,8.806589,32.369781,20180802, 05:34:59.5600
2555315,-85.062161,4.352111,32.390995,20180802, 05:44:59.5600
2555316,-70.225211,132.020678,32.26051,20180802, 05:54:59.5600
2555317,-74.471127,49.547761,32.184359,20180802, 06:04:59.5700
2555318,-75.625839,34.078078,28.878005,20180802, 06:14:59.5300
2555319,-85.882595,3.51727,31.62084,20180802, 06:24:59.5000
2555320,-86.410656,3.10336,31.506915,20180802, 06:34:59.5100
2555321,-85.954733,3.488627,31.888638,20180802, 06:44:59.5000
2555322,-79.3319,15.957942,31.744978,20180802, 06:54:59.5000
2555323,-82.697891,7.368899,31.819981,20180802, 07:04:59.5000
2555324,-76.680096,29.271769,31.620356,20180802, 07:14:59.5000
2555325,-78.954432,17.293618,31.538221,20180802, 07:24:59.4500
2555326,-86.179023,3.274823,31.520876,20180802, 07:34:59.4400
2555327,-75.608558,36.860821,31.112077,20180802, 07:44:59.4400
2555328,-86.645773,2.884238,30.911243,20180802, 07:54:59.4400
2555329,-77.952579,21.035334,30.458989,20180802, 08:04:59.4400
2555330,-74.390327,47.956783,30.576721,20180802, 08:14:59.4400
2555331,-77.159555,25.319583,30.543602,20180802, 08:24:59.4000
2555332,-74.035487,51.921218,30.507158,20180802, 08:34:59.3700
2555333,-74.412561,47.844681,30.661817,20180802, 08:44:59.3700
2555334,-69.737126,141.113365,30.8169,20180802, 08:54:59.3700
2555335,-76.305186,31.151483,30.867788,20180802, 09:04:59.3700
2555336,-86.157719,3.186951,30.524987,20180802, 09:14:59.3700
2555337,-79.314921,15.445733,30.606154,20180802, 09:24:59.3500
2555338,-78.882551,17.008635,30.509334,20180802, 09:34:59.3200
2555339,-77.975898,21.092279,30.705876,20180802, 09:44:59.3100
2555340,-91.832647,0.870533,30.800521,20180802, 09:54:59.3100
2555341,-86.47881,2.993758,30.87492,20180802, 10:04:59.3100
2555342,-93.43002,0.60505,30.924418,20180802, 10:14:59.3100
2555343,-95.134881,0.40574,30.707448,20180802, 10:24:59.3100
2555344,-76.629117,28.996283,30.957236,20180802, 10:34:59.2700
2555345,-89.072093,1.653945,30.991202,20180802, 10:44:59.2500
2555346,-89.102539,1.633976,30.832432,20180802, 10:54:59.2500
2555347,-91.69262,0.903829,30.963944,20180802, 11:04:59.2600
2555348,-90.080558,1.313697,31.049826,20180802, 11:14:59.2500
2555349,-90.976418,1.071702,31.13323,20180802, 11:24:59.2500
2555350,-82.412762,7.720889,31.221348,20180802, 11:34:59.2300
2555351,-75.612793,36.095593,30.495916,20180802, 11:44:59.1900
2555352,-88.808978,1.779328,31.380661,20180802, 11:54:59.1900
2555353,-86.780583,2.848116,31.486487,20180802, 12:04:59.2000
2555354,-75.773937,35.94545,31.517068,20180802, 12:14:59.2000
2555355,-77.897816,22.075437,31.564512,20180802, 12:24:59.1900
2555356,-70.631115,117.952061,31.646465,20180802, 12:34:59.1800
2555357,-83.055137,6.76581,31.720622,20180802, 12:44:59.1400
2555358,-71.20444,103.839052,31.791636,20180802, 12:54:59.1200
2555359,-73.871358,56.320211,31.864584,20180802, 13:04:59.1300
2555360,-85.865595,3.561119,31.889968,20180802, 13:14:59.1200
2555361,-66.215354,329.322735,31.964306,20180802, 13:24:59.1200
2555362,-69.189337,166.978078,32.144107,20180802, 13:34:59.1300
2555363,-72.875718,71.393369,32.117213,20180802, 13:44:59.0900
2555364,-70.890233,112.829974,32.13335,20180802, 13:54:59.0600
2555365,-59.215683,1680.873527,32.554539,20180802, 14:04:59.0600
2555366,-71.761143,93.954628,32.699468,20180802, 14:14:59.0600
2555367,-77.319361,26.118963,32.688891,20180802, 14:24:59.0600
2555368,-77.071151,27.631483,32.660848,20180802, 14:34:59.0600
2555369,-71.1007,109.221208,32.650151,20180802, 14:44:59.0400
2555370,-81.806225,9.298696,32.700374,20180802, 14:54:59.0000
2555371,-74.103347,54.791479,32.700616,20180802, 15:04:59.0000
2555372,-87.897748,2.269511,32.450042,20180802, 15:14:59.0000
2555373,-82.964858,7.120199,32.695358,20180802, 15:24:59.0000
2555374,-75.313351,41.478308,32.708775,20180802, 15:34:59.0000
2555375,-76.00356,35.383444,32.708775,20180802, 15:45:00.0000
2555376,-89.519773,1.574631,32.708775,20180802, 15:54:59.9600
2555377,-80.380366,12.915745,32.708775,20180802, 16:04:59.9400
2555378,-89.428018,1.608253,32.708775,20180802, 16:14:59.9400
2555379,-86.068983,3.480805,32.66526,20180802, 16:24:59.9400
2555380,-84.95348,4.505651,32.704967,20180802, 16:34:59.9400
2555381,-81.077403,11.000586,32.708775,20180802, 16:44:59.9400
2555382,-80.380211,12.916209,32.708775,20180802, 16:54:59.9100
2555383,-81.604828,9.742565,32.708775,20180802, 17:04:59.8700
2555384,-86.35082,3.266062,32.705028,20180802, 17:14:59.8700
2555385,-85.970651,3.564573,32.702489,20180802, 17:24:59.8700
2555386,-83.356164,6.509381,32.708775,20180802, 17:34:59.8700
2555387,-81.667671,9.602498,32.708412,20180802, 17:44:59.8700
2555388,-84.647574,4.817631,32.591103,20180802, 17:54:59.8600
2555389,-85.460844,3.979889,32.468596,20180802, 18:04:59.8200
2555390,-83.719665,5.924528,32.368935,20180802, 18:14:59.8100
2555391,-81.859889,9.068276,32.286559,20180802, 18:24:59.8100
2555392,-80.789147,11.520006,32.053512,20180802, 18:34:59.8200
2555393,-84.445348,4.941285,31.906769,20180802, 18:44:59.8100
2555394,-80.989071,10.914962,31.800762,20180802, 18:54:59.8100
2555395,-82.421465,7.82194,31.693425,20180802, 19:04:59.7900
2555396,-76.72509,28.941887,31.589593,20180802, 19:14:59.7500
2555397,-79.486305,15.275825,31.487877,20180802, 19:24:59.7500
2555398,-77.243088,25.523662,31.387732,20180802, 19:34:59.7600
2555399,-80.872723,11.030131,31.286802,20180802, 19:44:59.7500
2555400,-81.440285,9.647438,31.185206,20180802, 19:54:59.7500
2555401,-83.446973,6.058249,31.085122,20180802, 20:04:59.7300
2555402,-76.524533,29.733585,30.989086,20180802, 20:14:59.6900
2555403,-81.218051,10.059422,30.894864,20180802, 20:24:59.6900
2555404,-84.319272,4.911699,30.808257,20180802, 20:34:59.7000
2555405,-75.797941,34.847404,30.723645,20180802, 20:44:59.6900
2555406,-73.879208,54.99791,31.172756,20180802, 20:54:59.6900
2555407,-71.82082,88.587989,31.258275,20180802, 21:04:59.6800
2555408,-70.931047,108.608765,31.223221,20180802, 21:14:59.6400
2555409,-69.889929,138.025664,31.222013,20180802, 21:24:59.6200
2555410,-69.049202,167.50684,31.222013,20180802, 21:34:59.6200
2555411,-68.911137,172.917535,31.222013,20180802, 21:44:59.6200
2555412,-70.305684,125.425057,31.222013,20180802, 21:54:59.6200
2555413,-71.135888,103.600984,31.222013,20180802, 22:04:59.6200
2555414,-73.774684,56.426657,31.222013,20180802, 22:14:59.6000
2555415,-72.489723,75.842012,31.216936,20180802, 22:24:59.5600
2555416,-76.154632,32.47954,31.087176,20180802, 22:34:59.5600
2555417,-74.487376,47.719873,31.113225,20180802, 22:44:59.5600
2555418,-74.208207,50.888096,31.113225,20180802, 22:54:59.5600
2555419,-73.051935,66.467634,31.139515,20180802, 23:04:59.5600
2555420,-72.729646,71.667986,31.174388,20180802, 23:14:59.5500
2555421,-64.151256,517.189563,31.20926,20180802, 23:24:59.5100
2555422,-73.002841,67.448977,31.244072,20180802, 23:34:59.5000
2555423,-71.938009,86.286543,31.278945,20180802, 23:44:59.5000
2555424,-71.963943,85.868435,31.313817,20180802, 23:54:59.5000
2555425,-70.330143,125.226444,31.348629,20180803, 00:04:59.5000
