Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2555137,-56.805238,2803.652555,31.171387,20180801, 00:05:18.3100
2555138,-71.973889,84.399951,30.848871,20180801, 00:14:59.3100
2555139,-73.780739,55.645276,30.832614,20180801, 00:24:59.2800
2555140,-76.779251,27.798181,30.722013,20180801, 00:34:59.2500
2555141,-77.86889,21.491423,30.52547,20180801, 00:44:59.2500
2555142,-68.01477,210.243137,30.882112,20180801, 00:54:59.2500
2555143,-75.075293,41.489833,30.972708,20180801, 01:04:59.2500
2555144,-73.289512,62.05217,30.705514,20180801, 01:14:59.2500
2555145,-76.138933,32.733604,31.217298,20180801, 01:24:59.2300
2555146,-76.90907,27.686924,31.527524,20180801, 01:34:59.2000
2555147,-71.67088,90.396384,30.813939,20180801, 01:44:59.1900
2555148,-78.044288,21.184601,31.329773,20180801, 01:54:59.1900
2555149,-83.046426,6.728347,31.481773,20180801, 02:04:59.2000
2555150,-89.559964,1.510465,31.667618,20180801, 02:14:59.1900
2555151,-91.620595,0.956409,32.226363,20180801, 02:24:59.1800
2555152,-91.634962,0.953481,32.234159,20180801, 02:34:59.1400
2555153,-83.515532,6.226067,32.454514,20180801, 02:44:59.1200
2555154,-72.425214,80.352204,32.585724,20180801, 02:54:59.1200
2555155,-75.178002,42.737027,32.667254,20180801, 03:04:59.1200
2555156,-86.528178,3.131162,32.66115,20180801, 03:14:59.1200
2555157,-77.912121,22.794876,32.700737,20180801, 03:24:59.1200
2555158,-79.287615,16.600243,32.687682,20180801, 03:34:59.1000
2555159,-81.668439,9.586732,32.660485,20180801, 03:44:59.0600
2555160,-67.2623,264.292655,32.645497,20180801, 03:54:59.0600
2555161,-82.60045,7.678152,32.419763,20180801, 04:04:59.0600
2555162,-75.726609,37.52472,32.545171,20180801, 04:14:59.0600
2555163,-79.720103,15.015629,32.663447,20180801, 04:24:59.0600
2555164,-75.597453,38.614939,32.509392,20180801, 04:34:59.0500
2555165,-76.845698,28.631795,32.131174,20180801, 04:44:59.0100
2555166,-72.380395,80.08621,32.14441,20180801, 04:54:59.0000
2555167,-80.456235,12.383777,31.914264,20180801, 05:04:59.0000
2555168,-79.382818,16.100857,32.407011,20180801, 05:14:59.0000
2555169,-86.352104,3.239157,32.445207,20180801, 05:24:59.0000
2555170,-73.550715,61.145203,32.132316,20180801, 05:35:00.0000
2555171,-82.566229,7.667117,32.119086,20180801, 05:44:59.9600
2555172,-74.543482,48.28961,31.894078,20180801, 05:54:59.9400
2555173,-72.391506,78.862088,31.73416,20180801, 06:04:59.9400
2555174,-76.911387,27.536887,31.373408,20180801, 06:14:59.9400
2555175,-71.055705,106.598703,31.537738,20180801, 06:24:59.9400
2555176,-84.780639,4.469532,31.176987,20180801, 06:34:59.9400
2555177,-95.539486,0.370521,30.780033,20180801, 06:44:59.9200
2555178,-79.642952,14.39511,30.762264,20180801, 06:54:59.8800
2555179,-71.936086,83.815953,30.369904,20180801, 07:04:59.8700
2555180,-75.696986,35.478494,30.56131,20180801, 07:14:59.8700
2555181,-90.727034,1.110621,30.463341,20180801, 07:24:59.8700
2555182,-84.75467,4.428029,30.703338,20180801, 07:34:59.8700
2555183,-76.681006,28.092081,30.352377,20180801, 07:44:59.8700
2555184,-80.216492,12.244404,29.860356,20180801, 07:54:59.8300
2555185,-82.039459,8.100372,30.057926,20180801, 08:04:59.8100
2555186,-89.287995,1.519898,29.931067,20180801, 08:14:59.8100
2555187,-83.677122,5.533278,29.936628,20180801, 08:24:59.8100
2555188,-78.387145,18.624584,29.806385,20180801, 08:34:59.8200
2555189,-77.40376,23.227331,29.640363,20180801, 08:44:59.8100
2555190,-86.183962,3.079524,29.674813,20180801, 08:54:59.7800
2555191,-89.369568,1.469127,29.479781,20180801, 09:04:59.7500
2555192,-83.017878,6.442561,29.947083,20180801, 09:14:59.7500
2555193,-107.263238,0.024468,30.229266,20180801, 09:24:59.7500
2555194,-86.810565,2.705533,30.117396,20180801, 09:34:59.7600
2555195,-106.333621,0.030021,29.943276,20180801, 09:44:59.7500
2555196,-81.317835,9.506897,29.876553,20180801, 09:54:59.7400
2555197,-70.525837,114.520605,29.989934,20180801, 10:04:59.7100
2555198,-80.902769,10.653693,30.428831,20180801, 10:14:59.6900
2555199,-90.99581,1.049248,30.617335,20180801, 10:24:59.6900
2555200,-75.440298,37.633811,30.557381,20180801, 10:34:59.7000
2555201,-95.72906,0.353822,30.704244,20180801, 10:44:59.6900
2555202,-76.593299,28.818544,30.514773,20180801, 10:54:59.6900
