Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2555137,-56.636554,2914.690937,31.171387,20180801, 00:05:18.3100
2555138,-68.28277,197.448614,30.848871,20180801, 00:14:59.3100
2555139,-68.882075,171.907451,30.832614,20180801, 00:24:59.2800
2555140,-69.640362,143.848484,30.722013,20180801, 00:34:59.2500
2555141,-69.960853,132.760513,30.52547,20180801, 00:44:59.2500
2555142,-66.037388,331.482063,30.882112,20180801, 00:54:59.2500
2555143,-69.461405,151.122979,30.972708,20180801, 01:04:59.2500
2555144,-69.247419,157.386058,30.705514,20180801, 01:14:59.2500
2555145,-69.769579,141.882652,31.217298,20180801, 01:24:59.2300
2555146,-69.975163,136.667561,31.527524,20180801, 01:34:59.2000
2555147,-68.246645,198.872403,30.813939,20180801, 01:44:59.1900
2555148,-70.074194,132.748514,31.329773,20180801, 01:54:59.1900
2555149,-71.203454,102.85031,31.481773,20180801, 02:04:59.2000
2555150,-72.473575,77.223553,31.667618,20180801, 02:14:59.1900
2555151,-73.556293,61.245445,32.226363,20180801, 02:24:59.1800
2555152,-73.26263,65.545853,32.234159,20180801, 02:34:59.1400
2555153,-72.955039,70.837469,32.454514,20180801, 02:44:59.1200
2555154,-69.727991,149.527154,32.585724,20180801, 02:54:59.1200
2555155,-71.420259,101.526296,32.667254,20180801, 03:04:59.1200
2555156,-74.267319,52.697671,32.66115,20180801, 03:14:59.1200
2555157,-72.564091,78.098069,32.700737,20180801, 03:24:59.1200
2555158,-71.99235,89.051442,32.687682,20180801, 03:34:59.1000
2555159,-72.464854,79.804815,32.660485,20180801, 03:44:59.0600
2555160,-66.204886,337.152587,32.645497,20180801, 03:54:59.0600
2555161,-73.455898,63.053894,32.419763,20180801, 04:04:59.0600
2555162,-70.440542,126.743072,32.545171,20180801, 04:14:59.0600
2555163,-72.661834,76.272938,32.663447,20180801, 04:24:59.0600
2555164,-71.285101,104.229491,32.509392,20180801, 04:34:59.0500
2555165,-71.746818,92.626792,32.131174,20180801, 04:44:59.0100
