Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2555137,-74.649683,44.026787,29.798436,20180801, 00:05:18.2000
2555138,-70.947609,104.385209,30.123682,20180801, 00:14:59.2000
2555139,-72.259362,79.04694,30.855278,20180801, 00:24:59.2000
2555140,-70.291904,128.575409,31.904835,20180801, 00:34:59.2000
2555141,-71.908722,89.129497,32.092373,20180801, 00:44:59.2000
2555142,-71.656604,93.248966,31.682002,20180801, 00:54:59.2000
2555143,-72.576139,76.643244,32.180733,20180801, 01:04:59.1600
2555144,-71.307232,103.110735,32.324755,20180801, 01:14:59.1300
2555145,-73.323335,64.722316,32.277191,20180801, 01:24:59.1300
2555146,-71.733581,93.818468,32.445509,20180801, 01:34:59.1300
2555147,-72.957767,70.790481,32.453366,20180801, 01:44:59.1300
2555148,-76.701943,29.848908,32.406406,20180801, 01:54:59.1300
2555149,-76.731101,29.652437,32.409972,20180801, 02:04:59.1100
2555150,-74.481062,49.887279,32.479113,20180801, 02:14:59.0700
2555151,-76.448535,31.718511,32.484371,20180801, 02:24:59.0700
2555152,-75.252783,41.717313,32.441641,20180801, 02:34:59.0700
2555153,-72.131487,85.711235,32.485882,20180801, 02:44:59.0700
2555154,-75.416509,40.20958,32.47047,20180801, 02:54:59.0700
2555155,-74.392972,50.928442,32.4912,20180801, 03:04:59.0600
2555156,-77.235814,26.465263,32.4912,20180801, 03:14:59.0400
2555157,-79.886102,14.37631,32.4912,20180801, 03:24:59.0100
2555158,-76.274258,33.024161,32.4912,20180801, 03:34:59.0100
2555159,-82.180162,8.476526,32.489447,20180801, 03:44:59.0100
2555160,-72.809879,73.327981,32.4912,20180801, 03:54:59.0100
2555161,-72.192535,84.492049,32.477118,20180801, 04:04:59.0100
2555162,-72.478704,78.853136,32.374086,20180801, 04:14:59.9800
2555163,-76.63669,30.334229,32.442185,20180801, 04:24:59.9500
2555164,-75.919649,35.778531,32.441097,20180801, 04:34:59.9500
2555165,-85.565705,3.887063,32.486305,20180801, 04:44:59.9500
2555166,-85.278515,4.15207,32.480623,20180801, 04:54:59.9500
2555167,-77.853718,22.952031,32.486365,20180801, 05:04:59.9500
2555168,-78.687973,18.901114,32.418494,20180801, 05:14:59.9300
2555169,-84.681192,4.765607,32.489689,20180801, 05:24:59.8900
2555170,-80.456535,12.606776,32.4912,20180801, 05:34:59.8800
2555171,-71.117638,108.26643,32.4912,20180801, 05:44:59.8800
2555172,-84.451147,5.025079,32.4912,20180801, 05:54:59.8800
