Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2555137,-70.848778,106.300498,29.986189,20180801, 00:05:18.2000
2555138,-68.954234,165.386399,30.160005,20180801, 00:14:59.2000
2555139,-69.782007,139.836511,30.855278,20180801, 00:24:59.2000
2555140,-68.620503,188.928767,31.904835,20180801, 00:34:59.2000
2555141,-69.614992,151.145247,32.092373,20180801, 00:44:59.2000
2555142,-69.554956,151.289507,31.682002,20180801, 00:54:59.2000
2555143,-70.177596,133.145997,32.180733,20180801, 01:04:59.1600
2555144,-69.423675,159.096114,32.324755,20180801, 01:14:59.1300
2555145,-70.649821,119.785825,32.277191,20180801, 01:24:59.1300
2555146,-69.787197,146.867835,32.445509,20180801, 01:34:59.1300
2555147,-70.540346,123.514214,32.453366,20180801, 01:44:59.1300
2555148,-72.418576,80.032271,32.406406,20180801, 01:54:59.1300
2555149,-72.505898,78.447793,32.409972,20180801, 02:04:59.1100
2555150,-71.501588,99.068858,32.479113,20180801, 02:14:59.0700
2555151,-72.535002,78.102706,32.484371,20180801, 02:24:59.0700
2555152,-72.21334,83.996389,32.441641,20180801, 02:34:59.0700
2555153,-70.209761,133.416754,32.485882,20180801, 02:44:59.0700
2555154,-71.829017,91.849894,32.47047,20180801, 02:54:59.0700
2555155,-71.326558,103.181477,32.4912,20180801, 03:04:59.0600
2555156,-72.911115,71.638436,32.4912,20180801, 03:14:59.0400
2555157,-73.674468,60.091185,32.4912,20180801, 03:24:59.0100
2555158,-72.508802,78.591829,32.4912,20180801, 03:34:59.0100
2555159,-74.3313,51.654028,32.489447,20180801, 03:44:59.0100
2555160,-70.706252,119.023414,32.4912,20180801, 03:54:59.0100
2555161,-70.115529,136.306465,32.477118,20180801, 04:04:59.0100
2555162,-70.59472,121.679471,32.374086,20180801, 04:14:59.9800
2555163,-73.351058,64.639226,32.442185,20180801, 04:24:59.9500
2555164,-73.341138,64.784871,32.441097,20180801, 04:34:59.9500
2555165,-75.474712,39.693638,32.486305,20180801, 04:44:59.9500
2555166,-75.940205,35.652967,32.480623,20180801, 04:54:59.9500
2555167,-74.24337,52.705508,32.486365,20180801, 05:04:59.9500
2555168,-74.86498,45.581298,32.418494,20180801, 05:14:59.9300
2555169,-75.815656,36.700486,32.489689,20180801, 05:24:59.8900
2555170,-76.621689,30.485173,32.4912,20180801, 05:34:59.8800
2555171,-70.250373,132.196587,32.4912,20180801, 05:44:59.8800
2555172,-76.192544,33.651402,32.4912,20180801, 05:54:59.8800
2555173,-71.821658,91.457166,32.276889,20180801, 06:04:59.8800
