Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2555137,-69.652526,140.010459,29.986189,20180801, 00:05:18.2000
2555138,-68.140782,199.455064,30.160005,20180801, 00:14:59.2000
2555139,-68.833219,173.980023,30.855278,20180801, 00:24:59.2000
2555140,-67.888574,223.609856,31.904835,20180801, 00:34:59.2000
2555141,-68.695663,186.778695,32.092373,20180801, 00:44:59.2000
2555142,-68.648051,186.422927,31.682002,20180801, 00:54:59.2000
2555143,-69.130183,169.460885,32.180733,20180801, 01:04:59.1600
2555144,-68.531131,195.39525,32.324755,20180801, 01:14:59.1300
2555145,-69.491086,156.415187,32.277191,20180801, 01:24:59.1300
2555146,-68.817584,183.606482,32.445509,20180801, 01:34:59.1300
2555147,-69.401833,160.534482,32.453366,20180801, 01:44:59.1300
2555148,-70.742004,117.739545,32.406406,20180801, 01:54:59.1300
2555149,-70.784688,116.600852,32.409972,20180801, 02:04:59.1100
2555150,-70.127955,135.925368,32.479113,20180801, 02:14:59.0700
2555151,-70.81906,115.947201,32.484371,20180801, 02:24:59.0700
2555152,-70.581189,122.313874,32.441641,20180801, 02:34:59.0700
2555153,-69.105651,172.03683,32.485882,20180801, 02:44:59.0700
2555154,-70.313912,130.193484,32.47047,20180801, 02:54:59.0700
2555155,-69.954858,141.504998,32.4912,20180801, 03:04:59.0600
2555156,-71.035309,110.338406,32.4912,20180801, 03:14:59.0400
2555157,-71.512585,98.8551,32.4912,20180801, 03:24:59.0100
2555158,-70.780764,116.998735,32.4912,20180801, 03:34:59.0100
2555159,-71.910852,90.18804,32.489447,20180801, 03:44:59.0100
2555160,-69.481493,157.800462,32.4912,20180801, 03:54:59.0100
2555161,-69.055018,174.007319,32.477118,20180801, 04:04:59.0100
2555162,-69.468526,157.701831,32.374086,20180801, 04:14:59.9800
2555163,-71.398814,101.325922,32.442185,20180801, 04:24:59.9500
2555164,-71.414654,100.95364,32.441097,20180801, 04:34:59.9500
2555165,-72.619325,76.605454,32.486305,20180801, 04:44:59.9500
2555166,-72.878641,72.15262,32.480623,20180801, 04:54:59.9500
2555167,-71.985664,88.639355,32.486365,20180801, 05:04:59.9500
2555168,-72.362972,81.093772,32.418494,20180801, 05:14:59.9300
2555169,-72.885362,72.061157,32.489689,20180801, 05:24:59.8900
2555170,-73.468833,63.004895,32.4912,20180801, 05:34:59.8800
2555171,-69.228111,167.280968,32.4912,20180801, 05:44:59.8800
2555172,-73.11044,68.424802,32.4912,20180801, 05:54:59.8800
2555173,-70.525952,123.250384,32.276889,20180801, 06:04:59.8800
2555174,-71.02064,109.920289,32.258939,20180801, 06:14:59.8800
2555175,-69.988523,139.415658,32.260571,20180801, 06:24:59.8500
2555176,-70.579055,121.144066,32.115581,20180801, 06:34:59.8200
2555177,-73.052692,68.241799,31.976273,20180801, 06:44:59.8200
2555178,-72.433419,78.369885,31.84192,20180801, 06:54:59.8200
2555179,-67.068104,268.580976,31.724429,20180801, 07:04:59.8200
2555180,-70.705428,116.5672,31.814663,20180801, 07:14:59.8200
2555181,-70.434543,123.099099,31.565841,20180801, 07:24:59.8000
2555182,-69.027668,170.0297,31.535502,20180801, 07:34:59.7600
2555183,-67.940756,218.850751,31.603252,20180801, 07:44:59.7600
2555184,-72.871168,69.805137,31.369843,20180801, 07:54:59.7600
2555185,-71.315227,99.803512,31.345607,20180801, 08:04:59.7600
2555186,-74.01368,52.906343,30.930281,20180801, 08:14:59.7600
2555187,-72.021593,83.742086,30.946478,20180801, 08:24:59.7500
2555188,-73.463344,59.60519,30.699168,20180801, 08:34:59.7100
2555189,-58.34441,1932.731855,30.628154,20180801, 08:44:59.7000
2555190,-73.237206,62.273602,30.446176,20180801, 08:54:59.7000
2555191,-73.093699,64.113386,30.326812,20180801, 09:04:59.7000
2555192,-73.452211,59.261361,30.44394,20180801, 09:14:59.7000
2555193,-73.376828,60.405273,30.497609,20180801, 09:24:59.7000
2555194,-69.941287,132.579984,30.346938,20180801, 09:34:59.6700
2555195,-60.072251,1290.39517,30.440797,20180801, 09:44:59.6300
2555196,-72.921368,67.432735,30.656015,20180801, 09:54:59.6300
2555197,-73.082175,65.430696,30.867909,20180801, 10:04:59.6300
2555198,-74.009287,53.242075,31.095094,20180801, 10:14:59.6300
2555199,-74.415935,48.612938,31.178377,20180801, 10:24:59.6300
2555200,-72.894638,69.251947,31.289884,20180801, 10:34:59.6200
2555201,-74.031564,53.395691,31.345184,20180801, 10:44:59.5800
2555202,-74.138752,52.22184,31.422121,20180801, 10:54:59.5700
2555203,-69.504983,152.209271,31.509937,20180801, 11:04:59.5700
2555204,-74.00903,54.158104,31.628213,20180801, 11:14:59.5700
2555205,-72.07382,85.00834,31.794476,20180801, 11:24:59.5700
2555206,-71.325031,101.430078,31.928466,20180801, 11:34:59.5700
2555207,-71.338317,101.219978,31.959954,20180801, 11:44:59.5300
2555208,-71.999873,87.12447,32.035803,20180801, 11:54:59.5100
2555209,-71.653739,94.628246,32.129421,20180801, 12:04:59.5100
2555210,-71.259241,103.91338,32.218385,20180801, 12:14:59.5100
2555211,-72.874113,71.830201,32.301789,20180801, 12:24:59.5100
2555212,-72.739196,74.456453,32.458624,20180801, 12:34:59.5100
2555213,-71.932307,89.748431,32.4912,20180801, 12:44:59.4900
2555214,-72.624452,76.526594,32.4912,20180801, 12:54:59.4500
2555215,-72.379107,80.841836,32.438075,20180801, 13:04:59.4500
2555216,-71.496093,98.596437,32.283355,20180801, 13:14:59.4500
2555217,-72.039521,87.55409,32.489024,20180801, 13:24:59.4500
2555218,-71.332061,103.050831,32.4912,20180801, 13:34:59.4500
2555219,-72.000025,88.359869,32.4912,20180801, 13:44:59.4400
2555220,-71.581944,97.288875,32.4912,20180801, 13:54:59.4000
2555221,-69.703991,149.919633,32.4912,20180801, 14:04:59.3800
2555222,-71.734718,93.925989,32.4912,20180801, 14:14:59.3800
2555223,-66.051823,347.596451,32.4912,20180801, 14:24:59.3800
2555224,-71.795556,92.619407,32.4912,20180801, 14:34:59.3800
2555225,-70.086579,137.277613,32.4912,20180801, 14:44:59.3800
2555226,-72.06841,86.979446,32.4912,20180801, 14:54:59.3500
2555227,-70.210206,133.398863,32.484854,20180801, 15:04:59.3200
2555228,-70.596416,122.071977,32.4912,20180801, 15:14:59.3200
2555229,-71.492141,99.321546,32.4912,20180801, 15:24:59.3200
2555230,-71.737815,93.85904,32.4912,20180801, 15:34:59.3200
2555231,-72.006779,88.222576,32.4912,20180801, 15:44:59.3200
2555232,-70.589625,122.263012,32.4912,20180801, 15:54:59.3100
2555233,-68.656914,190.792513,32.490837,20180801, 16:04:59.2700
2555234,-56.714414,2984.119261,32.4912,20180801, 16:14:59.2600
2555235,-71.282311,104.238089,32.4912,20180801, 16:24:59.2600
2555236,-57.563999,2453.854443,32.490535,20180801, 16:34:59.2600
2555237,-71.501507,99.107592,32.4912,20180801, 16:44:59.2600
2555238,-73.025422,69.777497,32.4912,20180801, 16:54:59.2600
2555239,-72.547077,77.902221,32.4912,20180801, 17:04:59.2200
2555240,-74.183483,53.445272,32.4912,20180801, 17:14:59.2000
2555241,-72.47299,79.148677,32.452701,20180801, 17:24:59.2000
2555242,-72.825461,73.058957,32.488359,20180801, 17:34:59.2000
2555243,-72.984669,70.43417,32.490656,20180801, 17:44:59.2000
2555244,-71.584189,97.166077,32.466965,20180801, 17:54:59.2000
2555245,-71.380883,101.817347,32.465212,20180801, 18:04:59.1700
2555246,-73.040573,69.360143,32.40973,20180801, 18:14:59.1300
2555247,-72.213276,83.765567,32.352012,20180801, 18:24:59.1300
2555248,-72.376241,80.664456,32.345546,20180801, 18:34:59.1300
2555249,-68.604026,191.845507,32.274713,20180801, 18:44:59.1300
2555250,-73.119816,67.579489,32.159156,20180801, 18:54:59.1300
2555251,-72.33916,80.517165,32.011991,20180801, 19:04:59.1300
2555252,-72.944297,69.749062,31.876913,20180801, 19:14:59.0900
2555253,-72.328558,80.008726,31.732286,20180801, 19:24:59.0700
2555254,-72.088673,84.202449,31.600956,20180801, 19:34:59.0700
2555255,-73.549991,59.962694,31.505646,20180801, 19:44:59.0700
2555256,-72.519697,75.762206,31.400061,20180801, 19:54:59.0700
2555257,-72.149356,82.158124,31.267582,20180801, 20:04:59.0700
2555258,-72.203559,80.954195,31.196327,20180801, 20:14:59.0400
2555259,-73.482807,60.209091,31.149488,20180801, 20:24:59.0100
2555260,-70.680812,114.863377,31.172454,20180801, 20:34:59.0100
2555261,-71.45,96.044257,31.115703,20180801, 20:44:59.0100
2555262,-69.363289,154.97236,31.052123,20180801, 20:54:59.0100
2555263,-69.635232,145.257172,30.986246,20180801, 21:04:59.0100
2555264,-69.00764,167.742628,30.968175,20180801, 21:14:59.9900
2555265,-68.592706,184.559707,30.968175,20180801, 21:24:59.9500
2555266,-68.329223,196.003925,30.952461,20180801, 21:34:59.9500
2555267,-68.33606,195.365435,30.900243,20180801, 21:44:59.9500
2555268,-69.014532,167.476643,30.968175,20180801, 21:54:59.9500
2555269,-69.168097,161.658222,30.968175,20180801, 22:04:59.9500
2555270,-69.65025,144.632366,30.959835,20180801, 22:14:59.9500
2555271,-70.192539,127.801411,30.995432,20180801, 22:24:59.9100
2555272,-70.402107,121.908804,31.028008,20180801, 22:34:59.8800
2555273,-70.606227,116.434164,31.060705,20180801, 22:44:59.8800
2555274,-70.143403,129.617236,31.08216,20180801, 22:54:59.8800
2555275,-63.281549,630.605152,31.147312,20180801, 23:04:59.8800
2555276,-70.644129,115.93157,31.197717,20180801, 23:14:59.8800
2555277,-71.044489,105.967442,31.270121,20180801, 23:24:59.8600
2555278,-62.500485,759.684733,31.346574,20180801, 23:34:59.8200
2555279,-69.749111,143.688302,31.465938,20180801, 23:44:59.8200
2555280,-70.630564,117.762904,31.591709,20180801, 23:54:59.8200
2555281,-61.720014,919.52404,31.70098,20180802, 00:04:59.8200
2555282,-68.718932,184.100218,31.802092,20180802, 00:14:59.8200
2555283,-70.270711,129.149074,31.891177,20180802, 00:24:59.8100
2555284,-70.204295,131.715624,32.031331,20180802, 00:34:59.7800
2555285,-70.221508,131.801342,32.179463,20180802, 00:44:59.7600
2555286,-70.368004,128.016184,32.327596,20180802, 00:54:59.7600
2555287,-70.668193,119.661417,32.380358,20180802, 01:04:59.7600
2555288,-70.430862,126.390613,32.382412,20180802, 01:14:59.7600
2555289,-71.072372,109.034471,32.382412,20180802, 01:24:59.7600
2555290,-71.006099,110.673693,32.371473,20180802, 01:34:59.7300
2555291,-70.564036,122.43648,32.34615,20180802, 01:44:59.7000
2555292,-70.870408,114.166761,32.365973,20180802, 01:54:59.7000
2555293,-70.436484,126.643168,32.489145,20180802, 02:04:59.7000
2555294,-70.292857,130.909707,32.4912,20180802, 02:14:59.7000
2555295,-70.250879,132.16768,32.487876,20180802, 02:24:59.7000
2555296,-69.811974,146.231722,32.48981,20180802, 02:34:59.6800
2555297,-70.138569,135.633449,32.488662,20180802, 02:44:59.6400
2555298,-70.629278,121.145228,32.489447,20180802, 02:54:59.6300
2555299,-70.625049,121.269796,32.4912,20180802, 03:04:59.6300
2555300,-70.021551,139.348561,32.4912,20180802, 03:14:59.6300
2555301,-70.836331,115.511298,32.4912,20180802, 03:24:59.6300
2555302,-71.457839,100.109139,32.4912,20180802, 03:34:59.6300
2555303,-70.69316,119.382761,32.4912,20180802, 03:44:59.6000
2555304,-71.016015,110.829676,32.4912,20180802, 03:54:59.5700
2555305,-70.767348,117.360723,32.4912,20180802, 04:04:59.5700
2555306,-67.372305,256.46437,32.4912,20180802, 04:14:59.5700
2555307,-69.537483,155.779148,32.4912,20180802, 04:24:59.5700
2555308,-69.205404,168.15787,32.4912,20180802, 04:34:59.5700
2555309,-70.529898,123.930016,32.484371,20180802, 04:44:59.5500
2555310,-71.499118,99.098113,32.470228,20180802, 04:54:59.5100
2555311,-72.617683,76.644247,32.490475,20180802, 05:04:59.5100
2555312,-69.092018,172.442858,32.460498,20180802, 05:14:59.5100
2555313,-73.752392,58.744734,32.338233,20180802, 05:24:59.5100
2555314,-72.788658,72.003981,31.749027,20180802, 05:34:59.5100
