Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2558161,-79.81175,8.167606,18.145876,20180822, 00:04:59.5600
2558162,-81.843011,5.037702,17.866594,20180822, 00:14:59.5600
2558163,-77.219862,14.202666,17.372578,20180822, 00:24:59.5600
2558164,-79.019074,9.385834,17.373545,20180822, 00:34:59.5700
2558165,-81.007939,6.086965,17.811596,20180822, 00:44:59.5600
2558166,-80.79768,6.245201,17.410956,20180822, 00:54:59.5300
2558167,-82.79732,4.076208,18.009287,20180822, 01:04:59.4900
2558168,-79.734813,8.179182,17.852512,20180822, 01:14:59.4900
2558169,-82.37524,4.46251,17.890044,20180822, 01:24:59.4900
2558170,-83.985481,2.987581,17.353057,20180822, 01:34:59.4900
2558171,-81.395542,5.513106,17.638382,20180822, 01:44:59.4900
2558172,-80.96654,5.993464,17.371611,20180822, 01:54:59.4900
2558173,-88.264456,1.081061,16.819152,20180822, 02:04:59.4400
2558174,-90.804173,0.605493,16.905759,20180822, 02:14:59.4400
2558175,-89.38747,0.849328,17.11318,20180822, 02:24:59.4300
2558176,-86.854662,1.497009,16.834443,20180822, 02:34:59.4300
2558177,-87.412658,1.32829,16.985053,20180822, 02:44:59.4300
2558178,-85.304017,2.162603,17.017145,20180822, 02:54:59.4300
2558179,-86.663607,1.560247,16.790444,20180822, 03:04:59.4000
2558180,-79.609942,8.001251,16.969158,20180822, 03:14:59.3700
2558181,-76.531174,15.424932,16.100852,20180822, 03:24:59.3700
2558182,-77.637105,12.149457,16.359706,20180822, 03:34:59.3700
2558183,-80.312548,6.551219,16.333718,20180822, 03:44:59.3700
2558184,-78.27742,10.439379,16.290142,20180822, 03:54:59.3700
2558185,-82.69304,3.774783,16.281862,20180822, 04:04:59.3500
2558186,-85.773948,1.841769,16.148719,20180822, 04:14:59.3100
2558187,-79.339204,8.187536,16.314801,20180822, 04:24:59.3100
2558188,-70.495508,62.059405,16.138626,20180822, 04:34:59.3100
2558189,-73.406662,32.458721,16.500828,20180822, 04:44:59.3100
2558190,-71.418043,51.959388,16.710002,20180822, 04:54:59.3100
2558191,-63.239739,349.120241,17.078791,20180822, 05:04:59.3000
2558192,-62.480626,397.96528,16.346168,20180822, 05:14:59.2600
2558193,-65.153057,219.446044,16.677909,20180822, 05:24:59.2400
2558194,-65.581023,198.645729,16.660564,20180822, 05:34:59.2400
2558195,-63.491977,335.650688,17.401769,20180822, 05:44:59.2400
2558196,-64.691201,252.170184,17.231456,20180822, 05:54:59.2400
2558197,-60.092985,719.507428,17.054616,20180822, 06:04:59.2400
2558198,-63.044842,376.247972,17.598131,20180822, 06:14:59.2200
2558199,-62.51672,430.151446,17.815645,20180822, 06:24:59.1800
2558200,-71.424357,55.294556,17.808453,20180822, 06:34:59.1800
2558201,-76.818765,15.853597,17.681232,20180822, 06:44:59.1800
2558202,-69.592022,85.138383,17.981909,20180822, 06:54:59.1800
2558203,-62.631227,416.986879,17.731819,20180822, 07:04:59.1800
2558204,-68.619215,108.636781,18.340303,20180822, 07:14:59.1700
2558205,-63.059023,387.059839,18.16304,20180822, 07:24:59.1300
2558206,-73.169364,36.681115,17.655788,20180822, 07:34:59.1200
2558207,-71.526024,54.246501,17.884725,20180822, 07:44:59.1200
2558208,-80.904607,6.366656,18.19199,20180822, 07:54:59.1200
2558209,-78.591268,10.928442,18.331298,20180822, 08:04:59.1200
2558210,-91.09855,0.607652,18.155909,20180822, 08:14:59.1200
2558211,-79.867077,8.019011,18.04416,20180822, 08:24:59.0800
2558212,-999,0,17.500162,20180822, 08:34:59.0600
2558213,-74.635635,26.653034,17.981184,20180822, 08:44:59.0600
2558214,-69.211149,97.526952,18.86895,20180822, 08:54:59.0600
2558215,-74.696188,26.467926,18.107015,20180822, 09:04:59.0600
2558216,-80.240405,7.254468,17.789113,20180822, 09:14:59.0600
2558217,-69.867737,80.686292,18.158568,20180822, 09:24:59.0400
2558218,-71.486348,54.836842,17.914942,20180822, 09:35:00.0000
2558219,-80.959482,6.155199,17.811415,20180822, 09:44:59.9900
2558220,-90.174092,0.742035,17.920142,20180822, 09:54:59.9900
2558221,-77.991129,11.586534,16.926791,20180822, 10:04:59.9900
2558222,-80.132758,6.111169,14.618683,20180822, 10:14:59.9900
2558223,-75.986402,15.811902,14.559031,20180822, 10:25:00.0000
2558224,-66.709997,143.251238,15.581392,20180822, 10:34:59.9500
2558225,-74.44734,19.390275,12.526397,20180822, 10:44:59.9300
2558226,-79.495647,6.68388,13.807068,20180822, 10:54:59.9300
2558227,-69.032101,86.070222,15.979796,20180822, 11:04:59.9300
2558228,-76.871836,14.841897,16.756418,20180822, 11:14:59.9300
2558229,-76.912214,14.80102,16.866354,20180822, 11:24:59.9300
2558230,-71.343029,51.231595,16.193805,20180822, 11:34:59.9000
2558231,-69.65768,74.73662,16.025426,20180822, 11:44:59.8700
2558232,-70.676811,54.375573,14.743245,20180822, 11:54:59.8700
2558233,-70.943365,58.065489,16.740281,20180822, 12:04:59.8700
2558234,-72.615663,39.405877,16.696887,20180822, 12:14:59.8700
2558235,-71.586385,47.800718,15.980159,20180822, 12:24:59.8700
2558236,-75.842379,18.588163,16.557034,20180822, 12:34:59.8600
2558237,-80.116046,6.60447,15.738046,20180822, 12:44:59.8200
2558238,-90.54495,0.597372,15.712602,20180822, 12:54:59.8100
2558239,-73.375443,31.984359,16.143219,20180822, 13:04:59.8100
2558240,-85.328555,2.07975,16.457917,20180822, 13:14:59.8100
2558241,-69.718976,75.300236,16.375782,20180822, 13:24:59.8100
2558242,-72.654897,36.192461,15.474478,20180822, 13:34:59.8100
2558243,-68.542707,97.115104,16.10889,20180822, 13:44:59.7700
2558244,-66.860596,143.292669,16.135845,20180822, 13:54:59.7400
2558245,-67.302344,126.789155,15.806099,20180822, 14:04:59.7400
2558246,-72.098901,37.993397,14.292441,20180822, 14:14:59.7400
2558247,-87.883203,0.948619,13.518237,20180822, 14:24:59.7400
2558248,-74.300818,25.834699,16.135906,20180822, 14:34:59.7400
2558249,-83.536682,3.046572,15.958341,20180822, 14:44:59.7200
2558250,-102.431651,0.03972,16.131917,20180822, 14:54:59.6800
2558251,-69.539104,80.40082,16.775637,20180822, 15:04:59.6800
2558252,-69.554826,75.768384,15.866415,20180822, 15:14:59.6800
2558253,-70.860784,55.92786,15.820301,20180822, 15:24:59.6800
2558254,-68.216137,106.686535,16.414644,20180822, 15:34:59.6800
2558255,-73.391493,30.964569,15.686372,20180822, 15:44:59.6800
2558256,-76.556327,15.236496,15.996537,20180822, 15:54:59.6400
2558257,-96.077304,0.169069,15.896573,20180822, 16:04:59.6200
2558258,-86.684252,1.453617,15.717497,20180822, 16:14:59.6200
2558259,-75.385926,19.785479,15.865267,20180822, 16:24:59.6200
2558260,-85.863141,1.757201,15.726925,20180822, 16:34:59.6200
2558261,-80.420932,6.191075,15.825862,20180822, 16:44:59.6200
2558262,-85.772736,1.815972,15.918089,20180822, 16:54:59.5900
2558263,-72.068308,44.600176,16.66002,20180822, 17:04:59.5600
2558264,-78.39233,10.32849,16.549238,20180822, 17:14:59.5600
2558265,-78.658302,9.750799,16.61034,20180822, 17:24:59.5600
2558266,-78.019585,11.209069,16.482999,20180822, 17:34:59.5600
2558267,-81.713517,4.860438,16.731517,20180822, 17:44:59.5600
2558268,-91.189616,0.56363,17.19743,20180822, 17:54:59.5400
2558269,-95.355559,0.216503,17.239616,20180822, 18:04:59.5100
2558270,-82.167452,4.451235,17.011162,20180822, 18:14:59.4900
2558271,-100.44646,0.066201,17.022403,20180822, 18:24:59.4900
2558272,-84.221385,2.929519,17.965651,20180822, 18:34:59.4900
2558273,-72.462539,44.002405,17.99859,20180822, 18:44:59.5000
2558274,-85.561794,2.1262,17.753818,20180822, 18:54:59.4900
2558275,-84.218584,2.91927,17.891253,20180822, 19:04:59.4700
2558276,-89.540905,0.883287,18.437426,20180822, 19:14:59.4300
2558277,-85.529513,2.204315,18.269773,20180822, 19:24:59.4300
2558278,-77.456173,13.966966,18.039627,20180822, 19:34:59.4300
2558279,-74.414829,29.268993,18.767173,20180822, 19:44:59.4400
2558280,-72.576318,45.092548,18.934102,20180822, 19:54:59.4300
2558281,-70.849402,66.73781,18.828699,20180822, 20:04:59.4200
2558282,-71.722752,54.143316,18.677907,20180822, 20:14:59.3800
2558283,-76.009814,20.091165,18.599218,20180822, 20:24:59.3700
2558284,-76.99681,15.966787,18.552681,20180822, 20:34:59.3700
2558285,-75.005364,25.892903,19.020648,20180822, 20:44:59.3800
2558286,-76.507094,18.586405,19.293584,20180822, 20:54:59.3700
2558287,-76.734098,17.444738,19.080179,20180822, 21:04:59.3600
2558288,-78.413593,11.131673,17.923708,20180822, 21:14:59.3300
