Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2558161,-68.58978,108.216065,18.145876,20180822, 00:04:59.5600
2558162,-69.050508,95.825883,17.866594,20180822, 00:14:59.5600
2558163,-68.30084,110.73173,17.372578,20180822, 00:24:59.5600
2558164,-69.033651,93.543839,17.373545,20180822, 00:34:59.5700
2558165,-70.1036,74.960878,17.811596,20180822, 00:44:59.5600
2558166,-69.483799,84.515143,17.410956,20180822, 00:54:59.5300
2558167,-69.298502,91.230098,18.009287,20180822, 01:04:59.4900
2558168,-70.571077,67.465767,17.852512,20180822, 01:14:59.4900
2558169,-69.819419,80.382475,17.890044,20180822, 01:24:59.4900
2558170,-70.671903,64.073366,17.353057,20180822, 01:34:59.4900
2558171,-70.188311,72.797998,17.638382,20180822, 01:44:59.4900
2558172,-71.019676,59.205817,17.371611,20180822, 01:54:59.4900
2558173,-71.43632,52.07916,16.819152,20180822, 02:04:59.4400
2558174,-73.037035,36.209536,16.905759,20180822, 02:14:59.4400
2558175,-71.225561,55.624547,17.11318,20180822, 02:24:59.4300
2558176,-71.867298,47.202045,16.834443,20180822, 02:34:59.4300
2558177,-71.227595,55.182234,16.985053,20180822, 02:44:59.4300
2558178,-69.104158,90.149384,17.017145,20180822, 02:54:59.4300
2558179,-68.374728,105.215855,16.790444,20180822, 03:04:59.4000
2558180,-67.85155,119.949142,16.969158,20180822, 03:14:59.3700
2558181,-66.364233,160.294057,16.100852,20180822, 03:24:59.3700
2558182,-67.270331,132.200847,16.359706,20180822, 03:34:59.3700
2558183,-67.588682,122.661623,16.333718,20180822, 03:44:59.3700
2558184,-66.587357,154.056841,16.290142,20180822, 03:54:59.3700
2558185,-69.395021,80.666606,16.281862,20180822, 04:04:59.3500
2558186,-79.346924,8.089795,16.148719,20180822, 04:14:59.3100
2558187,-76.767824,14.801004,16.314801,20180822, 04:24:59.3100
2558188,-70.259786,65.520894,16.138626,20180822, 04:34:59.3100
2558189,-72.732993,37.905155,16.500828,20180822, 04:44:59.3100
2558190,-71.152874,55.230743,16.710002,20180822, 04:54:59.3100
2558191,-63.178944,354.041783,17.078791,20180822, 05:04:59.3000
2558192,-62.425987,403.003728,16.346168,20180822, 05:14:59.2600
2558193,-65.06772,223.800689,16.677909,20180822, 05:24:59.2400
2558194,-65.421655,206.070584,16.660564,20180822, 05:34:59.2400
2558195,-63.30778,350.192792,17.401769,20180822, 05:44:59.2400
2558196,-64.554951,260.206835,17.231456,20180822, 05:54:59.2400
2558197,-60.018281,731.990988,17.054616,20180822, 06:04:59.2400
