Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2558161,-68.341528,114.597038,18.148233,20180822, 00:04:59.5600
2558162,-68.755223,102.567864,17.866594,20180822, 00:14:59.5600
2558163,-68.056129,117.150245,17.372578,20180822, 00:24:59.5600
2558164,-68.735787,100.184749,17.373545,20180822, 00:34:59.5700
2558165,-69.76996,80.946609,17.811596,20180822, 00:44:59.5600
2558166,-69.200512,90.211781,17.410956,20180822, 00:54:59.5300
2558167,-69.041518,96.791352,18.009287,20180822, 01:04:59.4900
2558168,-70.256804,72.528847,17.852512,20180822, 01:14:59.4900
2558169,-69.544579,85.633834,17.890044,20180822, 01:24:59.4900
2558170,-70.324232,69.41361,17.353057,20180822, 01:34:59.4900
2558171,-69.868795,78.355797,17.638382,20180822, 01:44:59.4900
2558172,-70.602241,65.179016,17.371611,20180822, 01:54:59.4900
2558173,-70.972563,57.948153,16.819152,20180822, 02:04:59.4400
2558174,-72.350514,42.410669,16.905759,20180822, 02:14:59.4400
2558175,-70.800654,61.341891,17.11318,20180822, 02:24:59.4300
2558176,-71.462808,51.809548,16.834443,20180822, 02:34:59.4300
2558177,-70.855599,60.117206,16.985053,20180822, 02:44:59.4300
2558178,-68.871655,95.107119,17.017145,20180822, 02:54:59.4300
2558179,-68.174321,110.18486,16.790444,20180822, 03:04:59.4000
2558180,-67.677879,124.842999,16.969158,20180822, 03:14:59.3700
2558181,-66.230041,165.324257,16.100852,20180822, 03:24:59.3700
2558182,-67.112664,137.088458,16.359706,20180822, 03:34:59.3700
2558183,-67.433586,127.121295,16.333718,20180822, 03:44:59.3700
2558184,-66.459621,158.655299,16.290142,20180822, 03:54:59.3700
2558185,-69.166295,85.02887,16.281862,20180822, 04:04:59.3500
2558186,-77.364849,12.76865,16.148719,20180822, 04:14:59.3100
2558187,-75.575127,19.47874,16.314801,20180822, 04:24:59.3100
2558188,-69.952791,70.32007,16.138626,20180822, 04:34:59.3100
2558189,-72.23208,42.53922,16.500828,20180822, 04:44:59.3100
2558190,-70.838213,59.380938,16.710002,20180822, 04:54:59.3100
2558191,-63.124108,358.540422,17.078791,20180822, 05:04:59.3000
2558192,-62.380125,407.282112,16.346168,20180822, 05:14:59.2600
2558193,-64.989083,227.88995,16.677909,20180822, 05:24:59.2400
2558194,-65.331546,210.390868,16.660564,20180822, 05:34:59.2400
2558195,-63.252267,354.697821,17.401769,20180822, 05:44:59.2400
2558196,-64.48536,264.409973,17.231456,20180822, 05:54:59.2400
2558197,-59.994873,735.94689,17.054616,20180822, 06:04:59.2400
2558198,-62.918619,387.343674,17.598131,20180822, 06:14:59.2200
2558199,-62.391521,442.73242,17.815645,20180822, 06:24:59.1800
2558200,-70.878249,62.7037,17.808453,20180822, 06:34:59.1800
2558201,-74.32449,28.154991,17.681232,20180822, 06:44:59.1800
2558202,-68.995643,97.670484,17.981909,20180822, 06:54:59.1800
2558203,-62.341312,445.773115,17.731819,20180822, 07:04:59.1800
2558204,-67.999292,125.305203,18.340303,20180822, 07:14:59.1700
2558205,-62.825011,408.48795,18.16304,20180822, 07:24:59.1300
2558206,-71.350244,55.764086,17.655788,20180822, 07:34:59.1200
2558207,-70.843665,63.475718,17.884725,20180822, 07:44:59.1200
2558208,-77.22742,14.846704,18.19199,20180822, 07:54:59.1200
2558209,-76.058057,19.583005,18.331298,20180822, 08:04:59.1200
2558210,-78.325732,11.506324,18.155909,20180822, 08:14:59.1200
2558211,-77.554999,13.656161,18.04416,20180822, 08:24:59.0800
