Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2558161,-69.490288,95.697378,19.744085,20180822, 00:04:59.1200
2558162,-68.977743,105.740349,19.387564,20180822, 00:14:59.1200
2558163,-70.146211,81.467506,19.548509,20180822, 00:24:59.1100
2558164,-71.717156,54.198034,18.67271,20180822, 00:34:59.0700
2558165,-71.987576,52.735263,19.336011,20180822, 00:44:59.0600
2558166,-72.554606,46.132093,19.274002,20180822, 00:54:59.0600
2558167,-71.494251,57.485079,18.814315,20180822, 01:04:59.0600
2558168,-70.60422,71.839218,19.155424,20180822, 01:14:59.0600
2558169,-72.074033,51.18166,19.143699,20180822, 01:24:59.0600
2558170,-71.272932,58.872032,18.310931,20180822, 01:34:59.0300
2558171,-73.80464,34.030602,18.96015,20180822, 01:44:59.0000
2558172,-75.512326,22.970487,18.963172,20180822, 01:54:59.0000
2558173,-72.001067,52.090241,19.158929,20180822, 02:04:59.0000
2558174,-75.011101,25.64312,18.86206,20180822, 02:14:59.0000
2558175,-71.717917,54.338328,18.724323,20180822, 02:24:59.0000
2558176,-73.31926,37.353233,18.610687,20180822, 02:34:59.9800
2558177,-71.746333,52.485081,18.20444,20180822, 02:44:59.9400
2558178,-70.77903,66.333593,18.413856,20180822, 02:54:59.9300
2558179,-68.191691,117.903578,18.03866,20180822, 03:04:59.9300
2558180,-67.489405,139.457106,18.15053,20180822, 03:14:59.9300
2558181,-64.683253,257.098825,17.536122,20180822, 03:24:59.9300
2558182,-64.48388,271.58032,17.692715,20180822, 03:34:59.9300
2558183,-67.315909,141.977413,17.754906,20180822, 03:44:59.8900
2558184,-69.684109,80.447841,17.355353,20180822, 03:54:59.8700
2558185,-71.469719,52.575661,17.110582,20180822, 04:04:59.8700
2558186,-82.75342,3.82756,16.740644,20180822, 04:14:59.8700
2558187,-87.713636,1.243904,17.047424,20180822, 04:24:59.8700
2558188,-67.837026,118.599526,16.72221,20180822, 04:34:59.8700
2558189,-64.042726,298.656777,17.57734,20180822, 04:44:59.8500
2558190,-61.919494,482.058415,17.400319,20180822, 04:54:59.8100
2558191,-62.462617,444.552198,18.184133,20180822, 05:04:59.8100
2558192,-65.760655,205.789954,17.988617,20180822, 05:14:59.8100
2558193,-64.5789,262.424577,17.474415,20180822, 05:24:59.8100
2558194,-65.665845,210.439306,17.997804,20180822, 05:34:59.8100
2558195,-66.822652,159.38658,17.792014,20180822, 05:44:59.8100
2558196,-66.97792,158.061111,18.286272,20180822, 05:54:59.7600
2558197,-68.397862,112.909952,18.114509,20180822, 06:04:59.7500
2558198,-71.727738,51.792433,17.887445,20180822, 06:14:59.7500
2558199,-66.681359,170.988305,18.476106,20180822, 06:24:59.7500
2558200,-74.380349,29.603673,18.83166,20180822, 06:34:59.7500
2558201,-59.788349,871.859119,19.265904,20180822, 06:44:59.7500
2558202,-64.597028,286.726858,19.172528,20180822, 06:54:59.7200
2558203,-65.986036,205.381566,18.909201,20180822, 07:04:59.6800
2558204,-61.913082,519.986236,18.741669,20180822, 07:14:59.6800
2558205,-60.571682,710.64085,18.807304,20180822, 07:24:59.6800
2558206,-67.522692,143.231338,18.785184,20180822, 07:34:59.6800
2558207,-63.916464,331.571997,18.955376,20180822, 07:44:59.6800
2558208,-63.067873,399.394972,18.780107,20180822, 07:54:59.6700
2558209,-66.484337,183.523742,18.951085,20180822, 08:04:59.6300
2558210,-69.03983,102.774577,19.115112,20180822, 08:14:59.6200
2558211,-71.36488,61.97342,19.687999,20180822, 08:24:59.6200
2558212,-76.837368,17.029151,19.073833,20180822, 08:34:59.6200
2558213,-83.040158,4.033632,18.846044,20180822, 08:44:59.6200
2558214,-86.850822,1.742182,19.574195,20180822, 08:54:59.6200
2558215,-72.155621,50.941126,19.415063,20180822, 09:04:59.5800
2558216,-97.90235,0.133925,19.169264,20180822, 09:14:59.5600
2558217,-80.688639,7.225067,19.643275,20180822, 09:24:59.5600
2558218,-82.055111,5.269226,19.623029,20180822, 09:34:59.5600
2558219,-999,0,19.549114,20180822, 09:44:59.5600
2558220,-82.045563,5.230434,19.435793,20180822, 09:54:59.5600
2558221,-84.429724,2.971774,19.12037,20180822, 10:04:59.5400
2558222,-81.585166,5.89031,19.686246,20180822, 10:14:59.5000
2558223,-74.096264,32.908059,19.608161,20180822, 10:24:59.5000
2558224,-79.241694,10.149289,19.774848,20180822, 10:34:59.5000
2558225,-79.687328,8.92909,19.277387,20180822, 10:44:59.5000
2558226,-67.900998,137.860767,19.726437,20180822, 10:54:59.5000
2558227,-71.317092,63.104774,19.828033,20180822, 11:04:59.4900
2558228,-68.558337,119.518828,19.896569,20180822, 11:14:59.4500
2558229,-73.288005,40.609237,20.087854,20180822, 11:24:59.4300
2558230,-75.187189,23.690014,18.14648,20180822, 11:34:59.4300
2558231,-75.574465,23.843326,19.967402,20180822, 11:44:59.4300
2558232,-69.679262,91.576892,19.734234,20180822, 11:54:59.4300
2558233,-69.41707,95.303368,19.334077,20180822, 12:04:59.4300
2558234,-72.761001,42.760393,18.734839,20180822, 12:14:59.4000
2558235,-79.080213,10.094444,18.950118,20180822, 12:24:59.3700
2558236,-70.853146,64.359734,18.173435,20180822, 12:34:59.3700
2558237,-98.442794,0.113789,18.445344,20180822, 12:44:59.3700
2558238,-76.558671,17.374328,18.250856,20180822, 12:54:59.3700
2558239,-68.33429,117.792818,18.623272,20180822, 13:04:59.3700
2558240,-68.809072,104.682458,18.462448,20180822, 13:14:59.3600
2558241,-64.96127,245.301021,17.837524,20180822, 13:24:59.3200
2558242,-76.019653,20.208414,18.75019,20180822, 13:34:59.3100
2558243,-71.023304,57.375289,16.848585,20180822, 13:44:59.3100
