Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2558161,-66.082087,209.758771,19.744085,20180822, 00:04:59.1200
2558162,-66.176233,201.554162,19.387564,20180822, 00:14:59.1200
2558163,-66.91515,171.431439,19.548509,20180822, 00:24:59.1100
2558164,-67.701836,136.620406,18.67271,20180822, 00:34:59.0700
2558165,-68.014323,131.651697,19.336011,20180822, 00:44:59.0600
2558166,-68.474145,118.045436,19.274002,20180822, 00:54:59.0600
2558167,-68.021729,127.881396,18.814315,20180822, 01:04:59.0600
2558168,-67.493117,147.052344,19.155424,20180822, 01:14:59.0600
2558169,-68.222431,124.243753,19.143699,20180822, 01:24:59.0600
2558170,-67.797521,131.053959,18.310931,20180822, 01:34:59.0300
2558171,-69.458773,92.567027,18.96015,20180822, 01:44:59.0000
2558172,-70.738349,68.955348,18.963172,20180822, 01:54:59.0000
2558173,-68.776237,109.455944,19.158929,20180822, 02:04:59.0000
2558174,-70.691837,69.326183,18.86206,20180822, 02:14:59.0000
2558175,-68.778443,106.918688,18.724323,20180822, 02:24:59.0000
2558176,-69.840624,83.213119,18.610687,20180822, 02:34:59.9800
2558177,-68.592797,108.489945,18.20444,20180822, 02:44:59.9400
2558178,-67.557633,139.275048,18.413856,20180822, 02:54:59.9300
2558179,-65.788879,205.025659,18.03866,20180822, 03:04:59.9300
2558180,-64.602465,271.103197,18.15053,20180822, 03:14:59.9300
2558181,-62.762401,400.115465,17.536122,20180822, 03:24:59.9300
2558182,-62.602181,418.859392,17.692715,20180822, 03:34:59.9300
2558183,-64.559726,267.816696,17.754906,20180822, 03:44:59.8900
2558184,-66.195032,179.647875,17.355353,20180822, 03:54:59.8700
2558185,-67.073334,144.684904,17.110582,20180822, 04:04:59.8700
2558186,-73.559984,31.788175,16.740644,20180822, 04:14:59.8700
2558187,-81.451857,5.259747,17.047424,20180822, 04:24:59.8700
2558188,-67.162511,138.526999,16.72221,20180822, 04:34:59.8700
2558189,-63.439263,343.17743,17.57734,20180822, 04:44:59.8500
2558190,-61.392596,544.238736,17.400319,20180822, 04:54:59.8100
2558191,-61.89455,506.674936,18.184133,20180822, 05:04:59.8100
2558192,-65.012449,244.480785,17.988617,20180822, 05:14:59.8100
2558193,-64.239779,283.737374,17.474415,20180822, 05:24:59.8100
2558194,-65.08488,240.559962,17.997804,20180822, 05:34:59.8100
2558195,-66.154062,185.913428,17.792014,20180822, 05:44:59.8100
2558196,-66.586876,172.953532,18.286272,20180822, 05:54:59.7600
2558197,-67.746137,131.191208,18.114509,20180822, 06:04:59.7500
2558198,-70.759546,64.727013,17.887445,20180822, 06:14:59.7500
2558199,-66.481606,179.03656,18.476106,20180822, 06:24:59.7500
2558200,-73.278418,38.15387,18.83166,20180822, 06:34:59.7500
2558201,-59.741261,881.363612,19.265904,20180822, 06:44:59.7500
2558202,-64.347061,303.714197,19.172528,20180822, 06:54:59.7200
