Interval,Sv_mean,NASC,Height_mean,Date_M,Time_M
2558161,-65.850091,221.268559,19.744085,20180822, 00:04:59.1200
2558162,-65.96384,211.656251,19.387564,20180822, 00:14:59.1200
2558163,-66.64147,182.582216,19.548509,20180822, 00:24:59.1100
2558164,-67.362477,147.724157,18.67271,20180822, 00:34:59.0700
2558165,-67.624765,144.00654,19.336011,20180822, 00:44:59.0600
2558166,-68.075602,129.39085,19.274002,20180822, 00:54:59.0600
2558167,-67.660276,138.980102,18.814315,20180822, 01:04:59.0600
2558168,-67.069904,162.103804,19.155424,20180822, 01:14:59.0600
2558169,-67.762871,138.111752,19.143699,20180822, 01:24:59.0600
2558170,-67.406703,143.394305,18.310931,20180822, 01:34:59.0300
2558171,-68.877191,105.83139,18.96015,20180822, 01:44:59.0000
2558172,-70.206927,77.930985,18.963172,20180822, 01:54:59.0000
2558173,-68.439668,118.275914,19.158929,20180822, 02:04:59.0000
2558174,-70.168507,78.204235,18.86206,20180822, 02:14:59.0000
2558175,-68.438416,115.626221,18.724323,20180822, 02:24:59.0000
2558176,-69.454353,90.953402,18.610687,20180822, 02:34:59.9800
2558177,-68.261883,117.079488,18.20444,20180822, 02:44:59.9400
2558178,-67.270641,148.789554,18.413856,20180822, 02:54:59.9300
2558179,-65.585123,214.873957,18.03866,20180822, 03:04:59.9300
2558180,-64.427103,282.273955,18.15053,20180822, 03:14:59.9300
2558181,-62.64567,411.015634,17.536122,20180822, 03:24:59.9300
2558182,-62.490023,429.81748,17.692715,20180822, 03:34:59.9300
2558183,-64.397153,278.032095,17.754906,20180822, 03:44:59.8900
2558184,-66.010915,187.427722,17.355353,20180822, 03:54:59.8700
2558185,-66.851917,152.252671,17.110582,20180822, 04:04:59.8700
2558186,-72.811356,37.768381,16.740644,20180822, 04:14:59.8700
2558187,-79.292543,8.647614,17.047424,20180822, 04:24:59.8700
2558188,-67.033982,142.68794,16.72221,20180822, 04:34:59.8700
2558189,-63.362152,349.325099,17.57734,20180822, 04:44:59.8500
2558190,-61.338436,551.068288,17.400319,20180822, 04:54:59.8100
2558191,-61.823412,515.042635,18.184133,20180822, 05:04:59.8100
2558192,-64.880977,251.995011,17.988617,20180822, 05:14:59.8100
2558193,-64.132798,290.813587,17.474415,20180822, 05:24:59.8100
2558194,-64.952604,247.999596,17.997804,20180822, 05:34:59.8100
2558195,-66.009263,192.216513,17.792014,20180822, 05:44:59.8100
2558196,-66.431578,179.250004,18.286272,20180822, 05:54:59.7600
2558197,-67.548894,137.286861,18.114509,20180822, 06:04:59.7500
2558198,-70.404476,70.2413,17.887445,20180822, 06:14:59.7500
2558199,-66.344227,184.790481,18.476106,20180822, 06:24:59.7500
2558200,-72.585527,44.753575,18.83166,20180822, 06:34:59.7500
2558201,-59.697053,890.38098,19.265904,20180822, 06:44:59.7500
2558202,-64.190749,314.84466,19.172528,20180822, 06:54:59.7200
2558203,-65.371475,236.601501,18.909201,20180822, 07:04:59.6800
2558204,-61.674532,549.34711,18.741669,20180822, 07:14:59.6800
2558205,-60.288092,758.593526,18.807304,20180822, 07:24:59.6800
2558206,-66.872732,166.354331,18.785184,20180822, 07:34:59.6800
2558207,-63.608205,355.962058,18.955376,20180822, 07:44:59.6800
2558208,-62.873955,417.632621,18.780107,20180822, 07:54:59.6700
2558209,-65.959446,207.100598,18.951085,20180822, 08:04:59.6300
2558210,-68.282159,122.363749,19.115112,20180822, 08:14:59.6200
2558211,-70.01456,84.574097,19.687999,20180822, 08:24:59.6200
2558212,-74.77577,27.37492,19.073833,20180822, 08:34:59.6200
2558213,-78.138922,12.468661,18.846044,20180822, 08:44:59.6200
2558214,-79.605669,9.238657,19.574195,20180822, 08:54:59.6200
2558215,-71.495473,59.303911,19.415063,20180822, 09:04:59.5800
2558216,-77.557409,14.499611,19.169264,20180822, 09:14:59.5600
2558217,-77.284892,15.820366,19.643275,20180822, 09:24:59.5600
2558218,-78.215362,12.756212,19.623029,20180822, 09:34:59.5600
2558219,-81.577986,5.858957,19.549114,20180822, 09:44:59.5600
2558220,-77.944477,13.447649,19.435793,20180822, 09:54:59.5600
2558221,-79.424754,9.408334,19.12037,20180822, 10:04:59.5400
2558222,-77.880719,13.822382,19.686246,20180822, 10:14:59.5000
2558223,-72.753442,44.83163,19.608161,20180822, 10:24:59.5000
2558224,-76.618716,18.566645,19.774848,20180822, 10:34:59.5000
2558225,-76.679693,17.847226,19.277387,20180822, 10:44:59.5000
2558226,-67.495564,151.35057,19.726437,20180822, 10:54:59.5000
2558227,-70.576344,74.840558,19.828033,20180822, 11:04:59.4900
2558228,-68.039148,134.696153,19.896569,20180822, 11:14:59.4500
2558229,-72.050973,53.991828,20.087854,20180822, 11:24:59.4300
2558230,-73.430687,35.498956,18.14648,20180822, 11:34:59.4300
2558231,-74.026395,34.054453,19.967402,20180822, 11:44:59.4300
2558232,-69.049287,105.872548,19.734234,20180822, 11:54:59.4300
2558233,-68.964207,105.777813,19.334077,20180822, 12:04:59.4300
2558234,-71.783031,53.559767,18.734839,20180822, 12:14:59.4000
2558235,-76.274316,19.260704,18.950118,20180822, 12:24:59.3700
2558236,-70.247533,73.99044,18.173435,20180822, 12:34:59.3700
2558237,-79.898127,8.138904,18.445344,20180822, 12:44:59.3700
2558238,-74.275774,29.389869,18.250856,20180822, 12:54:59.3700
2558239,-67.543979,141.302513,18.623272,20180822, 13:04:59.3700
2558240,-67.811788,131.705009,18.462448,20180822, 13:14:59.3600
2558241,-64.502001,272.663073,17.837524,20180822, 13:24:59.3200
2558242,-73.954476,32.512469,18.75019,20180822, 13:34:59.3100
2558243,-69.901336,74.288506,16.848585,20180822, 13:44:59.3100
2558244,-75.290501,21.942762,17.212721,20180822, 13:54:59.3100
2558245,-76.168472,18.602838,17.862182,20180822, 14:04:59.3100
2558246,-77.770705,12.821534,17.804041,20180822, 14:14:59.3100
2558247,-71.694148,50.138644,17.182865,20180822, 14:24:59.2700
2558248,-76.553128,15.464562,16.224024,20180822, 14:34:59.2500
2558249,-79.263555,8.495596,16.636328,20180822, 14:44:59.2500
2558250,-76.156169,18.073875,17.30519,20180822, 14:54:59.2500
2558251,-76.488302,17.213611,17.79141,20180822, 15:04:59.2500
2558252,-78.533844,10.72764,17.758109,20180822, 15:14:59.2500
2558253,-78.152019,11.813322,17.909444,20180822, 15:24:59.2200
2558254,-79.541417,8.639594,18.036121,20180822, 15:34:59.1800
2558255,-77.411438,14.098482,18.022886,20180822, 15:44:59.1800
2558256,-81.606914,5.335667,17.922076,20180822, 15:54:59.1800
2558257,-80.245451,7.278714,17.869314,20180822, 16:04:59.1800
2558258,-75.884042,19.70484,17.720879,20180822, 16:14:59.1800
2558259,-75.889811,19.859087,17.883335,20180822, 16:24:59.1800
2558260,-77.984491,11.815857,17.235445,20180822, 16:34:59.1400
2558261,-79.294173,8.891902,17.535578,20180822, 16:44:59.1200
2558262,-79.416769,8.464629,17.170898,20180822, 16:54:59.1200
2558263,-78.323673,10.964909,17.293405,20180822, 17:04:59.1200
2558264,-80.443622,6.651296,17.091362,20180822, 17:14:59.1200
2558265,-77.60455,12.905988,17.248621,20180822, 17:24:59.1200
2558266,-74.067198,28.961532,17.141526,20180822, 17:34:59.0900
2558267,-81.524994,5.309597,17.501249,20180822, 17:44:59.0600
2558268,-73.701104,32.092195,17.458943,20180822, 17:54:59.0600
2558269,-68.770402,99.335115,17.364056,20180822, 18:04:59.0700
2558270,-73.485361,32.992554,17.078912,20180822, 18:14:59.0600
2558271,-67.581772,134.117608,17.830815,20180822, 18:24:59.0600
2558272,-64.761553,267.334076,18.565977,20180822, 18:34:59.0400
2558273,-65.552292,224.027441,18.665457,20180822, 18:44:59.0100
2558274,-68.207212,121.508908,18.656814,20180822, 18:54:59.0100
2558275,-68.835104,104.246257,18.496051,20180822, 19:04:59.0000
2558276,-68.127592,122.869509,18.523006,20180822, 19:14:59.0000
2558277,-65.195873,242.954718,18.647507,20180822, 19:24:59.0000
2558278,-66.835721,168.482905,18.864102,20180822, 19:35:00.0000
2558279,-67.847451,134.522629,19.012912,20180822, 19:44:59.9600
2558280,-67.083365,161.398171,19.131249,20180822, 19:54:59.9300
2558281,-65.736962,218.590656,19.003605,20180822, 20:04:59.9400
2558282,-65.2236,244.982623,18.923586,20180822, 20:14:59.9300
2558283,-65.716907,222.697733,19.271464,20180822, 20:24:59.9300
2558284,-65.941701,209.000976,19.046999,20180822, 20:34:59.9300
2558285,-65.582539,235.969101,19.797814,20180822, 20:44:59.9200
2558286,-64.371506,308.965944,19.614145,20180822, 20:54:59.8800
2558287,-64.510247,301.70439,19.774908,20180822, 21:04:59.8700
2558288,-64.382911,314.694043,20.030317,20180822, 21:14:59.8700
2558289,-65.103582,272.583853,20.481725,20180822, 21:24:59.8700
2558290,-65.945992,223.915927,20.426425,20180822, 21:34:59.8700
2558291,-66.379858,203.43206,20.507532,20180822, 21:44:59.8600
2558292,-68.16308,137.771218,20.939902,20180822, 21:54:59.8200
2558293,-68.748787,120.070629,20.88448,20180822, 22:04:59.8100
2558294,-69.591647,99.781357,21.072804,20180822, 22:14:59.8100
2558295,-69.912932,92.905576,21.127258,20180822, 22:24:59.8100
2558296,-70.175228,86.836815,20.976587,20180822, 22:34:59.8100
2558297,-70.786629,75.515575,20.999432,20180822, 22:44:59.8100
2558298,-69.67587,96.757946,20.834438,20180822, 22:54:59.7800
2558299,-69.412653,101.601196,20.590754,20180822, 23:04:59.7500
2558300,-69.640639,98.01719,20.935067,20180822, 23:14:59.7500
2558301,-70.433119,82.082444,21.041195,20180822, 23:24:59.7600
2558302,-71.010456,71.886331,21.04748,20180822, 23:34:59.7500
2558303,-71.813892,59.847236,21.083441,20180822, 23:44:59.7500
2558304,-73.138694,42.334295,20.233448,20180822, 23:54:59.7300
2558305,-72.695085,48.153431,20.779923,20180823, 00:04:59.6900
2558306,-67.981249,142.559757,20.779259,20180823, 00:14:59.6800
2558307,-73.917337,35.954792,20.558843,20180823, 00:24:59.6800
2558308,-73.455524,38.576928,19.832989,20180823, 00:34:59.6800
2558309,-72.594447,47.138014,19.875778,20180823, 00:44:59.6800
2558310,-73.188498,39.980917,19.329061,20180823, 00:54:59.6800
2558311,-72.423261,47.295571,19.17144,20180823, 01:04:59.6400
2558312,-73.05111,40.323754,18.887746,20180823, 01:14:59.6200
2558313,-73.338363,37.606225,18.819331,20180823, 01:24:59.6200
2558314,-73.562077,35.199051,18.545851,20180823, 01:34:59.6200
2558315,-74.213033,31.091192,19.030439,20180823, 01:44:59.6200
2558316,-74.55005,28.772555,19.032313,20180823, 01:54:59.6200
2558317,-74.548277,28.266033,18.689632,20180823, 02:04:59.6000
2558318,-73.154141,39.189254,18.797029,20180823, 02:14:59.5600
2558319,-73.069538,39.982392,18.807485,20180823, 02:24:59.5600
2558320,-73.999832,32.057807,18.682077,20180823, 02:34:59.5600
2558321,-71.438724,56.924123,18.394032,20180823, 02:44:59.5600
2558322,-71.570271,55.856497,18.604113,20180823, 02:54:59.5600
2558323,-71.859486,51.427096,18.308332,20180823, 03:04:59.5500
2558324,-71.393255,58.135034,18.589668,20180823, 03:14:59.5100
2558325,-70.498007,69.9342,18.196946,20180823, 03:24:59.5100
2558326,-71.381532,57.437647,18.317156,20180823, 03:34:59.5000
2558327,-71.046687,60.548836,17.876506,20180823, 03:44:59.5000
2558328,-71.267564,58.075,18.040715,20180823, 03:54:59.5000
2558329,-69.860126,78.854823,17.715319,20180823, 04:04:59.5000
2558330,-71.20662,56.688658,17.364661,20180823, 04:14:59.4700
2558331,-79.831677,7.853307,17.527842,20180823, 04:24:59.4300
2558332,-79.755085,7.795978,17.095714,20180823, 04:34:59.4300
2558333,-70.948901,58.65647,16.93223,20180823, 04:44:59.4300
2558334,-73.007322,35.856098,16.626598,20180823, 04:54:59.4300
2558335,-70.335439,68.72496,17.225292,20180823, 05:04:59.4300
2558336,-73.474275,32.796547,16.934164,20180823, 05:14:59.4200
2558337,-66.786694,150.801641,16.694892,20180823, 05:24:59.3900
2558338,-67.410705,130.240768,16.646603,20180823, 05:34:59.3700
2558339,-63.37452,330.98307,16.701903,20180823, 05:44:59.3700
2558340,-64.002715,280.977011,16.38515,20180823, 05:54:59.3700
2558341,-62.655879,372.809391,15.943473,20180823, 06:04:59.3700
2558342,-60.263354,651.41492,16.058365,20180823, 06:14:59.3700
2558343,-66.095765,166.52422,15.723964,20180823, 06:24:59.3300
2558344,-66.963526,140.55444,16.207101,20180823, 06:34:59.3100
2558345,-63.041407,348.964855,16.30912,20180823, 06:44:59.3100
2558346,-69.128686,86.846399,16.486504,20180823, 06:54:59.3100
2558347,-64.287141,287.638253,17.9089,20180823, 07:04:59.3100
2558348,-66.469357,176.352587,18.14787,20180823, 07:14:59.3100
2558349,-63.207958,375.088899,18.215379,20180823, 07:24:59.2900
2558350,-65.129385,235.664668,17.813167,20180823, 07:34:59.2500
2558351,-60.96847,604.322044,17.523611,20180823, 07:44:59.2500
2558352,-63.787462,318.501305,17.675249,20180823, 07:54:59.2500
2558353,-63.193899,352.004457,17.039084,20180823, 08:04:59.2500
2558354,-61.635,493.824087,16.694772,20180823, 08:14:59.2500
2558355,-64.962366,230.628187,16.774791,20180823, 08:24:59.2400
2558356,-59.599357,774.504903,16.385815,20180823, 08:34:59.2000
2558357,-62.844259,389.224869,17.383396,20180823, 08:44:59.1800
2558358,-65.062316,239.350213,17.814497,20180823, 08:54:59.1800
2558359,-69.782417,79.527779,17.54966,20180823, 09:04:59.1800
2558360,-67.373639,139.972439,17.738406,20180823, 09:14:59.1800
2558361,-64.642058,267.393203,18.066098,20180823, 09:24:59.1800
2558362,-64.435195,289.944337,18.678512,20180823, 09:34:59.1500
2558363,-58.47622,1144.927521,18.702868,20180823, 09:44:59.1200
2558364,-62.790846,437.182059,19.286573,20180823, 09:54:59.1200
2558365,-66.64287,177.61451,19.022764,20180823, 10:04:59.1200
2558366,-65.126655,247.421981,18.690116,20180823, 10:14:59.1200
2558367,-61.317775,610.226216,19.176819,20180823, 10:24:59.1200
2558368,-69.297343,96.413406,19.027417,20180823, 10:34:59.1100
2558369,-58.124503,1278.851139,19.26542,20180823, 10:44:59.0700
2558370,-67.962655,135.4206,19.654335,20180823, 10:54:59.0600
2558371,-65.200611,247.36519,19.006748,20180823, 11:04:59.0600
2558372,-59.467664,921.854192,18.920685,20180823, 11:14:59.0600
2558373,-62.850264,420.794067,18.819331,20180823, 11:24:59.0600
2558374,-62.805957,423.388874,18.74318,20180823, 11:34:59.0600
2558375,-64.553926,276.74912,18.322595,20180823, 11:44:59.0200
2558376,-61.672663,527.656995,17.993936,20180823, 11:54:59.0000
2558377,-64.836866,254.971229,18.017144,20180823, 12:04:59.0000
2558378,-63.547721,355.351796,18.661166,20180823, 12:14:59.0000
2558379,-65.673975,199.179189,17.066704,20180823, 12:24:59.0000
2558380,-67.174912,104.942035,12.704244,20180823, 12:35:00.0000
2558381,-69.146126,61.937964,11.805317,20180823, 12:44:59.9700
2558382,-63.686629,240.32465,13.030748,20180823, 12:54:59.9300
2558383,-77.360233,10.332578,13.053896,20180823, 13:04:59.9300
2558384,-76.762048,11.006943,12.11657,20180823, 13:14:59.9300
2558385,-78.10478,8.004184,12.003371,20180823, 13:24:59.9300
